主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和6年度予算額,前年度予算額(千円),比較増△減額(千円)
国土交通省,5,2,03,86,雑収入,納付金,雑納付金,独立行政法人国際観光振興機構納付金,0,6930821,-6930821
国土交通省,5,2,03,45,雑収入,納付金,雑納付金,独立行政法人住宅金融支援機構納付金,0,79083622,-79083622
国土交通省,5,3,04,03,雑収入,諸収入,公共事業費負担金,海岸整備事業費負担金,5714805,7617680,-1902875
国土交通省,5,3,04,29,雑収入,諸収入,公共事業費負担金,河川等整備事業費負担金,131229084,183428329,-52199245
国土交通省,5,3,04,30,雑収入,諸収入,公共事業費負担金,多目的ダム建設等事業電気事業者等工事費負担金,31507253,26763194,4744059
国土交通省,5,3,04,27,雑収入,諸収入,公共事業費負担金,道路整備事業費負担金,288789000,353124195,-64335195
国土交通省,5,3,04,25,雑収入,諸収入,公共事業費負担金,港湾整備事業費負担金,57697900,90043990,-32346090
国土交通省,5,3,04,11,雑収入,諸収入,公共事業費負担金,国営公園整備事業費負担金,631649,1120389,-488740
国土交通省,5,3,04,07,雑収入,諸収入,公共事業費負担金,河川等災害復旧事業費負担金,7336403,19964877,-12628474
国土交通省,5,3,04,08,雑収入,諸収入,公共事業費負担金,河川等災害関連事業費負担金,2998470,32632465,-29633995
国土交通省,5,3,04,31,雑収入,諸収入,公共事業費負担金,エネルギー・鉄鋼港湾施設工事受益者工事費負担金,0,26453,-26453
国土交通省,5,3,04,18,雑収入,諸収入,公共事業費負担金,水資源開発施設災害復旧事業費負担金,0,287409,-287409
国土交通省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1868750,1814289,54461
国土交通省,5,3,06,02,雑収入,諸収入,許可及手数料,許可料,6454552,6201130,253422
国土交通省,5,3,07,03,雑収入,諸収入,受託調査試験及役務収入,受託研究員費受入,225,431,-206
国土交通省,5,3,07,04,雑収入,諸収入,受託調査試験及役務収入,受託測量等収入,940,903,37
国土交通省,5,3,07,06,雑収入,諸収入,受託調査試験及役務収入,受託工事収入,56695879,83914049,-27218170
国土交通省,5,3,07,05,雑収入,諸収入,受託調査試験及役務収入,測量標移転改埋費受入,116,116,0
国土交通省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,5233,10900,-5667
国土交通省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,517100,523011,-5911
国土交通省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,15676678,22021132,-6344454
