主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和6年度予算額,前年度予算額(千円),比較増△減額(千円)
裁判所,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,95016,94436,580
裁判所,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,165941,161272,4669
裁判所,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,393487,434651,-41164
裁判所,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3314,3507,-193
裁判所,5,2,09,01,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,48980,50800,-1820
裁判所,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1806623,1603771,202852
裁判所,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,20,30,-10
裁判所,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,229438,293549,-64111
裁判所,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,62628,60482,2146
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,63138,56353,6785
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,49029,41486,7543
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,44952,32490,12462
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,9,6,3
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,6775,5946,829
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,2008,4134,-2126
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,67291974,61785932,5506042
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17,17,0
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,74,47,27
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1104,1111,-7
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,57,9,48
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,2532,2467,65
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1244,1404,-160
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,3060,2619,441
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,270,327,-57
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,28105,28988,-883
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1514,1413,101
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,2745,2574,171
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,290,296,-6
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,481,2,479
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,843583,878657,-35074
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,2056,1884,172
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,4306,3070,1236
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,11,1,10
内閣,5,3,99,99,雑収入,諸収入,雑入,雑収,2,0,2
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,54849,43651,11198
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,484830,359777,125053
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,47022,49238,-2216
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,5079,2919,2160
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,410797,83160,327637
内閣府,4,2,03,13,政府資産整理収入,回収金等収入,貸付金等回収金収入,災害援護資金貸付金償還金,2361352,3582333,-1220981
内閣府,4,2,03,19,政府資産整理収入,回収金等収入,貸付金等回収金収入,母子父子寡婦福祉資金貸付金償還金,11416882,8654002,2762880
内閣府,4,2,54,01,政府資産整理収入,回収金等収入,東日本大震災復興放射性物質汚染対策緊急除染等事業費回収金収入,放射性物質汚染対策緊急除染等事業費回収金,0,29574084,-29574084
内閣府,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,270385,255944,14441
内閣府,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,264912,310460,-45548
内閣府,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,539767,539977,-210
内閣府,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,2543,2511,32
内閣府,5,1,02,03,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,510407,349474,160933
内閣府,5,1,02,05,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,35377,31728,3649
内閣府,5,2,03,04,雑収入,納付金,雑納付金,公認会計士法違反者納付金,15090,14940,150
内閣府,5,2,03,05,雑収入,納付金,雑納付金,価格協定等違反者納付金,2488197,104421820,-101933623
内閣府,5,2,03,06,雑収入,納付金,雑納付金,金融商品取引法違反者納付金,1301330,1116850,184480
内閣府,5,2,03,25,雑収入,納付金,雑納付金,不当表示違反者納付金,642327,716371,-74044
内閣府,5,2,03,17,雑収入,納付金,雑納付金,独立行政法人国立公文書館納付金,12829,18489,-5660
内閣府,5,2,03,31,雑収入,納付金,雑納付金,国立研究開発法人日本医療研究開発機構納付金,9160,10218,-1058
内閣府,5,2,03,79,雑収入,納付金,雑納付金,独立行政法人国民生活センター納付金,0,527261,-527261
内閣府,5,2,03,80,雑収入,納付金,雑納付金,独立行政法人北方領土問題対策協会納付金,0,1502244,-1502244
内閣府,5,3,03,27,雑収入,諸収入,特別会計受入金,自動車安全特別会計受入金,134791,143338,-8547
内閣府,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1014735,838270,176465
内閣府,5,3,08,05,雑収入,諸収入,懲罰及没収金,交通反則者納金,48493496,51556739,-3063243
内閣府,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,108858,84597,24261
内閣府,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,33652007,12659291,20992716
内閣府,5,3,11,01,雑収入,諸収入,物品売払収入,試験場製品等売払代,5620,6592,-972
内閣府,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,313136,266004,47132
内閣府,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,32791,24296,8495
内閣府,5,3,99,04,雑収入,諸収入,雑入,延滞金,2649,2398,251
内閣府,5,3,99,99,雑収入,諸収入,雑入,雑収,70175,64820,5355
内閣府,5,3,35,01,雑収入,諸収入,防衛力強化弁償及返納金,返納金,0,100531218,-100531218
デジタル庁,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,117,0,117
デジタル庁,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1,1,0
デジタル庁,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,13132,13643,-511
デジタル庁,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,8545,3528,5017
デジタル庁,5,3,99,04,雑収入,諸収入,雑入,延滞金,1,1,0
総務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,59188,59311,-123
総務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,74621,76101,-1480
総務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,26426,23587,2839
総務省,5,2,03,11,雑収入,納付金,雑納付金,国立研究開発法人情報通信研究機構納付金,2386650,0,2386650
総務省,5,2,03,74,雑収入,納付金,雑納付金,独立行政法人統計センター納付金,619549,346953,272596
総務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1593504,1198835,394669
総務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1800,2055,-255
総務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,6508562,21321685,-14813123
総務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,41168,25162,16006
総務省,5,3,15,01,雑収入,諸収入,電波利用料収入,電波利用料収入,74995721,74995721,0
総務省,5,3,33,01,雑収入,諸収入,特定基地局開設料収入,特定基地局開設料収入,13600000,12700000,900000
総務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,16228,11683,4545
総務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,1026,1349,-323
総務省,5,3,99,99,雑収入,諸収入,雑入,雑収,262035,640806,-378771
法務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,252132,238746,13386
法務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,295086,344189,-49103
法務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,199788,216369,-16581
法務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,256,519,-263
法務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,58760546,52950245,5810301
法務省,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,1513742,1799760,-286018
法務省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,1052979,947846,105133
法務省,5,3,08,01,雑収入,諸収入,懲罰及没収金,罰金及科料,32812124,31896518,915606
法務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,402858,423727,-20869
法務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,623845,679289,-55444
法務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,433253,411666,21587
法務省,5,3,10,01,雑収入,諸収入,矯正官署作業収入,刑務所作業収入,2428520,2234716,193804
法務省,5,3,10,02,雑収入,諸収入,矯正官署作業収入,少年院職業指導収入,4768,4090,678
法務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,126807,97546,29261
法務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,14330,13855,475
法務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,7900,7573,327
法務省,5,3,99,05,雑収入,諸収入,雑入,期満後収入,95756,142395,-46639
法務省,5,3,99,12,雑収入,諸収入,雑入,相続土地国庫帰属負担金,679368,110332,569036
法務省,5,3,99,99,雑収入,諸収入,雑入,雑収,186406,184262,2144
外務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,15962,66140,-50178
外務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,13811,34937,-21126
外務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,10012,10092,-80
外務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,50481,50811,-330
外務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,559425,472809,86616
外務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,10202,14187,-3985
外務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,7337291,11147074,-3809783
外務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,4119,3838,281
外務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,17916562,14300106,3616456
外務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,43667,35506,8161
外務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,7097,5144,1953
外務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,203,262,-59
外務省,5,3,99,99,雑収入,諸収入,雑入,雑収,22966,32240,-9274
外務省,5,2,03,73,雑収入,納付金,雑納付金,独立行政法人国際交流基金納付金,0,13364,-13364
財務省,1,1,01,01,租税及印紙収入,租税,所得税,源泉所得税,14160000000,17420000000,-3260000000
財務省,1,1,01,02,租税及印紙収入,租税,所得税,申告所得税,3745000000,3875000000,-130000000
財務省,1,1,02,01,租税及印紙収入,租税,法人税,法人税,17046000000,14662000000,2384000000
財務省,1,1,03,01,租税及印紙収入,租税,相続税,相続税,3292000000,3142000000,150000000
財務省,1,1,20,01,租税及印紙収入,租税,消費税,消費税,23823000000,22992000000,831000000
財務省,1,1,04,01,租税及印紙収入,租税,酒税,酒税,1209000000,1180000000,29000000
財務省,1,1,18,01,租税及印紙収入,租税,たばこ税,たばこ税,948000000,935000000,13000000
財務省,1,1,06,01,租税及印紙収入,租税,揮発油税,揮発油税,2018000000,2100000000,-82000000
財務省,1,1,07,01,租税及印紙収入,租税,石油ガス税,石油ガス税,4000000,5000000,-1000000
財務省,1,1,17,01,租税及印紙収入,租税,航空機燃料税,航空機燃料税,32000000,34000000,-2000000
財務省,1,1,54,02,租税及印紙収入,租税,石油石炭税,石油石炭税,606000000,647000000,-41000000
財務省,1,1,23,01,租税及印紙収入,租税,電源開発促進税,電源開発促進税,311000000,324000000,-13000000
財務省,1,1,16,01,租税及印紙収入,租税,自動車重量税,自動車重量税,402000000,378000000,24000000
財務省,1,1,25,01,租税及印紙収入,租税,国際観光旅客税,国際観光旅客税,44000000,20000000,24000000
財務省,1,1,14,01,租税及印紙収入,租税,関税,関税,917000000,911000000,6000000
財務省,1,1,15,01,租税及印紙収入,租税,とん税,とん税,9000000,10000000,-1000000
財務省,1,2,01,01,租税及印紙収入,印紙収入,印紙収入,収入印紙,522000000,521000000,1000000
財務省,1,2,01,02,租税及印紙収入,印紙収入,印紙収入,現金収入,520000000,455000000,65000000
財務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,45000000,27698000,17302000
財務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,187000,263000,-76000
財務省,4,1,01,09,政府資産整理収入,国有財産処分収入,国有財産売払収入,証券売払代,9558037,9319063,238974
財務省,4,1,01,04,政府資産整理収入,国有財産処分収入,国有財産売払収入,工作物売払代,0,1000,-1000
財務省,4,1,02,01,政府資産整理収入,国有財産処分収入,特定国有財産売払収入,特定施設売払代,2227586,9299316,-7071730
財務省,4,1,03,01,政府資産整理収入,国有財産処分収入,東日本大震災復興国有財産売払収入,土地売払代,5500000,0,5500000
財務省,4,1,04,01,政府資産整理収入,国有財産処分収入,防衛力強化国有財産売払収入,土地売払代,0,416402000,-416402000
財務省,4,2,01,06,政府資産整理収入,回収金等収入,特別会計整理収入,産業投資特別会計整理収入,102262,374898,-272636
財務省,4,2,01,12,政府資産整理収入,回収金等収入,特別会計整理収入,社会資本整備事業特別会計整理収入,10596017,16322071,-5726054
財務省,4,2,02,01,政府資産整理収入,回収金等収入,引継債権整理収入,公団引継債権整理収入,24,24,0
財務省,4,2,50,75,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人日本医療研究開発機構出資回収金,2541802,25621793,-23079991
財務省,4,2,50,43,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国立高等専門学校機構出資回収金,57185,448030,-390845
財務省,4,2,50,25,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国際交流基金出資回収金,0,69080,-69080
財務省,4,2,50,26,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人造幣局出資回収金,0,1830131,-1830131
財務省,4,2,50,76,政府資産整理収入,回収金等収入,政府出資回収金収入,国立研究開発法人量子科学技術研究開発機構出資回収金,0,45400,-45400
財務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,18799456,19719806,-920350
財務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1116623,1137015,-20392
財務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,15767648,16010082,-242434
財務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,111,146,-35
財務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,18026,15048,2978
財務省,5,1,04,02,雑収入,国有財産利用収入,利子収入,指定預金利子収入,771,771,0
財務省,5,1,03,01,雑収入,国有財産利用収入,配当金収入,日本銀行配当金収入,2750,2750,0
財務省,5,1,03,05,雑収入,国有財産利用収入,配当金収入,日本郵政株式会社配当金収入,46147328,60963300,-14815972
財務省,5,1,03,06,雑収入,国有財産利用収入,配当金収入,日本アルコール産業株式会社配当金収入,16001,20001,-4000
財務省,5,1,03,07,雑収入,国有財産利用収入,配当金収入,輸出入・港湾関連情報処理センター株式会社配当金収入,22004,27506,-5502
財務省,5,2,01,01,雑収入,納付金,日本銀行納付金,日本銀行納付金,1117300000,946400000,170900000
財務省,5,2,06,01,雑収入,納付金,独立行政法人造幣局納付金,独立行政法人造幣局納付金,509353,1099049,-589696
財務省,5,2,03,07,雑収入,納付金,雑納付金,株式会社国際協力銀行納付金,387520,928230,-540710
財務省,5,2,03,09,雑収入,納付金,雑納付金,預金保険機構納付金,1179746,290653,889093
