主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成24年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
裁判所,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,54645,54833,-188
裁判所,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,84073,70183,13890
裁判所,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,14603,13855,748
裁判所,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,100,264,-164
裁判所,5,3,99,04,雑収入,諸収入,雑入,延滞金,3362,2781,581
裁判所,5,3,99,05,雑収入,諸収入,雑入,期満後収入,7177,13859,-6682
裁判所,5,3,99,99,雑収入,諸収入,雑入,雑収,22149314,18117394,4031920
会計検査院,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,59,57,2
会計検査院,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,38,40,-2
会計検査院,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,19003,18694,309
会計検査院,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,59,54,5
会計検査院,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,451,405,46
会計検査院,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1219,1127,92
会計検査院,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,724,679,45
会計検査院,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,1148,784,364
会計検査院,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,10,10,0
会計検査院,5,3,99,04,雑収入,諸収入,雑入,延滞金,21,21,0
会計検査院,5,3,99,99,雑収入,諸収入,雑入,雑収,589,492,97
内閣,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17882,18018,-136
内閣,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,2375,2847,-472
内閣,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,7782,7988,-206
内閣,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,1378,1146,232
内閣,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,218,1221,-1003
内閣,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,78,449,-371
内閣,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,923041,1516527,-593486
内閣,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,1392,1814,-422
内閣,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,4986,4664,322
内閣,5,3,99,04,雑収入,諸収入,雑入,延滞金,361,387,-26
内閣,5,3,99,99,雑収入,諸収入,雑入,雑収,17807,20966,-3159
内閣府,3,2,01,01,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,43765,43067,698
内閣府,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,192560,268284,-75724
内閣府,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,5879,1334,4545
内閣府,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,1791,3790,-1999
内閣府,4,1,01,50,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,207615,189468,18147
内閣府,4,2,03,32,政府資産整理収入,回収金等収入,貸付金等回収金収入,総合研究開発機構無利子貸付金償還金,3110000,3110000,0
内閣府,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,222406,253804,-31398
内閣府,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,65690,68494,-2804
