主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和5年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
外務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,14300106,7783340,6516766
外務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,35506,38202,-2696
外務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,5144,3612,1532
外務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,262,318,-56
外務省,5,3,99,99,雑収入,諸収入,雑入,雑収,32240,37599,-5359
財務省,1,1,01,01,租税及印紙収入,租税,所得税,源泉所得税,17515000000,18495000000,-980000000
財務省,1,1,01,02,租税及印紙収入,租税,所得税,申告所得税,3533000000,3524000000,9000000
財務省,1,1,02,01,租税及印紙収入,租税,法人税,法人税,14602000000,13787000000,815000000
財務省,1,1,03,01,租税及印紙収入,租税,相続税,相続税,2776000000,2839000000,-63000000
財務省,1,1,20,01,租税及印紙収入,租税,消費税,消費税,23384000000,22161000000,1223000000
財務省,1,1,04,01,租税及印紙収入,租税,酒税,酒税,1180000000,1128000000,52000000
財務省,1,1,18,01,租税及印紙収入,租税,たばこ税,たばこ税,935000000,934000000,1000000
財務省,1,1,06,01,租税及印紙収入,租税,揮発油税,揮発油税,1999000000,2079000000,-80000000
財務省,1,1,07,01,租税及印紙収入,租税,石油ガス税,石油ガス税,5000000,5000000,0
財務省,1,1,17,01,租税及印紙収入,租税,航空機燃料税,航空機燃料税,34000000,34000000,0
財務省,1,1,54,02,租税及印紙収入,租税,石油石炭税,石油石炭税,647000000,660000000,-13000000
財務省,1,1,23,01,租税及印紙収入,租税,電源開発促進税,電源開発促進税,324000000,313000000,11000000
財務省,1,1,16,01,租税及印紙収入,租税,自動車重量税,自動車重量税,378000000,385000000,-7000000
財務省,1,1,25,01,租税及印紙収入,租税,国際観光旅客税,国際観光旅客税,20000000,9000000,11000000
財務省,1,1,14,01,租税及印紙収入,租税,関税,関税,1122000000,1053000000,69000000
財務省,1,1,15,01,租税及印紙収入,租税,とん税,とん税,10000000,9000000,1000000
財務省,1,2,01,01,租税及印紙収入,印紙収入,印紙収入,収入印紙,521000000,538000000,-17000000
財務省,1,2,01,02,租税及印紙収入,印紙収入,印紙収入,現金収入,455000000,406000000,49000000
財務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,27698000,26400000,1298000
財務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,263000,286000,-23000
財務省,4,1,01,04,政府資産整理収入,国有財産処分収入,国有財産売払収入,工作物売払代,1000,7351,-6351
財務省,4,1,01,09,政府資産整理収入,国有財産処分収入,国有財産売払収入,証券売払代,9319063,7922689,1396374
財務省,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,0,31240,-31240
財務省,4,1,02,01,政府資産整理収入,国有財産処分収入,特定国有財産売払収入,特定施設売払代,9299316,5217030,4082286
